"id","activityid","date"
366,1515,"2020-08-24"
367,5849,"2024-08-29"
368,11773,"2022-06-23"
369,931,"2022-09-15"
370,14106,"2022-09-11"
371,10039,"2021-06-07"
372,14039,"2023-07-06"
373,7616,"2022-02-19"
374,14560,"2022-12-18"
375,6896,"2021-02-28"
376,8708,"2023-02-19"
377,12317,"2019-10-26"
378,7329,"2019-11-12"
379,14583,"2022-09-09"
380,2352,"2021-10-11"
381,185,"2017-10-01"
382,6351,"2024-10-19"
383,11673,"2018-07-24"
384,778,"2017-04-25"
385,8444,"2024-10-06"
386,4459,"2017-12-14"
387,1353,"2017-06-13"
388,9074,"2023-12-19"
389,7331,"2019-07-09"
390,5146,"2024-03-13"
391,1044,"2018-07-16"
392,1489,"2019-12-01"
393,7966,"2022-04-20"
394,5202,"2020-03-15"
395,7559,"2018-11-26"
396,296,"2022-09-02"
397,665,"2019-11-15"
398,8066,"2018-10-04"
399,9309,"2023-12-30"
400,4827,"2021-05-13"
401,11267,"2018-11-29"
402,14490,"2024-10-22"
403,5812,"2021-08-26"
404,3490,"2018-09-13"
405,890,"2021-09-17"
406,5659,"2024-08-01"
407,68,"2020-05-30"
408,12197,"2020-05-09"
409,3364,"2017-09-25"
410,1522,"2022-12-17"
411,8786,"2017-01-15"
412,2226,"2020-12-21"
413,6541,"2019-02-10"
414,11050,"2020-02-01"
415,14355,"2018-03-09"
416,852,"2023-12-08"
417,863,"2024-12-02"
418,4656,"2020-02-29"
419,1927,"2018-03-01"
420,5686,"2024-09-10"
421,3618,"2020-10-21"
422,799,"2018-10-28"
423,6036,"2024-10-03"
424,9303,"2024-11-25"
425,12928,"2022-02-22"
426,3682,"2018-03-03"
427,9624,"2017-10-03"
428,5186,"2018-06-12"
429,14541,"2019-10-29"
430,13080,"2024-08-15"
431,692,"2017-10-01"
432,8540,"2017-11-20"
433,1122,"2024-02-02"
434,10497,"2017-11-07"
435,6878,"2024-12-11"
436,3308,"2018-06-30"
437,9558,"2017-12-09"
438,4596,"2021-10-23"
439,9046,"2023-09-27"
440,10349,"2019-09-06"
441,10390,"2018-09-01"
442,2916,"2018-02-11"
443,24,"2018-06-24"
444,3862,"2018-09-01"
445,14894,"2023-11-30"
446,5395,"2024-10-20"
447,3206,"2019-08-22"
448,12119,"2018-05-04"
449,7875,"2018-06-15"
450,9940,"2017-02-13"
451,13248,"2018-09-20"
452,11272,"2017-03-03"
453,12900,"2019-02-04"
454,3407,"2017-03-30"
455,8379,"2018-03-19"
456,13775,"2017-09-14"
457,7686,"2021-02-17"
458,8219,"2021-01-21"
459,8918,"2024-01-16"
460,5717,"2018-04-23"
461,9035,"2020-11-06"
462,10420,"2019-11-23"
463,8812,"2017-10-24"
464,6863,"2021-11-21"
465,3630,"2018-03-26"
466,4368,"2020-10-04"
467,10983,"2020-06-22"
468,8363,"2021-05-19"
469,14495,"2022-05-22"
470,3724,"2020-03-24"
471,324,"2024-11-29"
472,11686,"2024-04-30"
473,9147,"2021-10-14"
474,14557,"2024-10-08"
475,14384,"2024-02-06"
476,1531,"2018-02-26"
477,8499,"2017-01-17"
478,14469,"2022-05-29"
479,10470,"2018-04-14"
480,9780,"2024-02-18"
481,1183,"2017-05-30"
482,10010,"2017-06-24"
483,14620,"2024-07-03"
484,3071,"2020-02-21"
485,2890,"2018-11-21"
486,2894,"2018-02-14"
487,23,"2022-03-10"
488,11840,"2024-09-25"
489,6890,"2018-03-29"
490,1281,"2023-06-27"
491,11672,"2021-06-22"
492,12032,"2020-01-26"
493,58,"2024-10-24"
494,5733,"2019-10-23"
495,8382,"2020-02-23"
496,139,"2017-02-28"
497,1774,"2019-03-31"
498,1912,"2024-10-25"
499,14811,"2017-09-15"
500,5215,"2024-08-25"
501,14262,"2018-05-04"
502,1630,"2018-02-07"
503,5401,"2023-02-08"
504,2199,"2019-05-17"
505,6323,"2024-02-21"
506,14562,"2020-06-04"
507,12969,"2022-07-06"
508,11708,"2021-04-01"
509,14443,"2017-09-25"
510,10356,"2024-10-18"
511,4087,"2021-10-05"
512,5054,"2021-03-27"
513,4275,"2019-02-06"
514,5271,"2019-10-05"
515,7087,"2018-11-11"
516,14286,"2019-08-30"
517,12704,"2022-10-13"
518,13633,"2021-10-28"
519,6797,"2018-02-05"
520,5098,"2017-10-12"
521,14116,"2018-10-11"
522,1915,"2020-04-11"
523,8999,"2022-10-17"
524,13756,"2024-12-05"
525,10785,"2022-03-03"
526,9367,"2019-12-31"
527,3166,"2017-07-03"
528,10003,"2020-05-31"
529,4995,"2020-04-01"
530,12781,"2024-04-15"
531,10606,"2021-04-15"
532,9523,"2017-08-29"
533,6294,"2019-10-24"
534,13,"2019-02-08"
535,13217,"2024-12-11"
536,5433,"2022-05-09"
537,12935,"2019-12-31"
538,13675,"2018-02-07"
539,6189,"2024-07-15"
540,9343,"2023-01-12"
541,10870,"2020-01-21"
542,7935,"2024-11-10"
543,13917,"2021-03-10"
544,7743,"2018-09-04"
545,2729,"2023-08-14"
546,4553,"2023-06-05"
547,8504,"2017-07-31"
548,6951,"2018-11-28"
549,10480,"2018-02-01"
550,5394,"2017-06-30"
551,449,"2019-09-29"
552,8012,"2023-06-12"
553,7999,"2018-10-10"
554,14715,"2021-10-26"
555,3446,"2024-12-29"
556,9470,"2023-08-04"
557,367,"2019-03-10"
558,14327,"2024-11-06"
559,7842,"2024-07-31"
560,10578,"2018-11-28"
561,6994,"2020-04-25"
562,14877,"2023-02-24"
563,2826,"2017-02-01"
564,4059,"2024-12-24"
565,4631,"2024-09-26"
566,3944,"2017-01-31"
567,10799,"2017-05-28"
568,14843,"2024-03-17"
569,13589,"2021-07-25"
570,346,"2019-12-17"
571,11431,"2018-02-05"
572,12533,"2019-10-29"
573,9769,"2020-06-09"
574,11904,"2019-05-12"
575,12095,"2017-09-29"
576,746,"2021-07-10"
577,3443,"2023-11-13"
578,14903,"2019-05-25"
579,3602,"2022-09-19"
580,2485,"2019-02-13"
581,10255,"2024-07-05"
582,10673,"2017-05-24"
583,8139,"2020-04-12"
584,3886,"2023-04-13"
585,2644,"2019-03-04"
586,8207,"2019-08-31"
587,14692,"2019-10-30"
588,9997,"2020-03-10"
589,4175,"2020-06-09"
590,5972,"2017-12-03"
591,7333,"2018-10-10"
592,9198,"2020-11-18"
593,14023,"2017-05-31"
594,6379,"2021-12-27"
595,9433,"2018-05-29"
596,7154,"2017-07-27"
597,9852,"2023-05-13"
598,3547,"2018-10-25"
599,12551,"2024-05-25"
600,3045,"2019-08-19"
601,1412,"2023-08-25"
602,66,"2024-11-17"
603,13332,"2021-07-31"
604,518,"2024-08-25"
605,3699,"2024-11-11"
606,10876,"2020-07-25"
607,3648,"2020-01-27"
608,9552,"2019-03-10"
609,11463,"2021-07-09"
610,4554,"2024-04-07"
611,9040,"2023-05-18"
612,14235,"2024-11-12"
613,7364,"2017-12-20"
614,1506,"2020-07-15"
615,11137,"2018-08-26"
616,5225,"2023-09-24"
617,823,"2022-12-27"
618,14853,"2024-01-05"
619,8141,"2020-07-01"
620,12026,"2023-11-21"
621,1871,"2017-12-06"
622,6645,"2023-01-10"
623,3988,"2022-02-03"
624,5766,"2018-06-18"
625,1979,"2024-11-06"
626,14725,"2024-08-26"
627,710,"2020-03-19"
628,12138,"2019-09-20"
629,14421,"2017-01-03"
630,11499,"2018-05-05"
631,14331,"2024-11-14"
632,11508,"2022-09-30"
633,9074,"2017-09-01"
634,8555,"2019-09-30"
635,7615,"2017-10-07"
636,1436,"2020-05-05"
637,8548,"2020-10-19"
638,5426,"2020-01-13"
639,931,"2021-04-29"
640,3889,"2023-03-04"
641,4934,"2023-11-12"
642,2196,"2022-02-25"
643,4958,"2019-11-21"
644,3062,"2018-07-27"
645,9700,"2019-05-10"
646,392,"2023-07-28"
647,4273,"2023-01-31"
648,1432,"2019-08-08"
649,11238,"2023-04-26"
650,10084,"2023-09-24"
651,982,"2021-12-21"
652,2216,"2023-07-05"
653,5250,"2021-11-13"
654,14233,"2018-07-26"
655,3466,"2019-07-28"
656,10381,"2018-11-01"
657,8290,"2017-01-18"
658,8508,"2021-11-17"
659,1116,"2023-05-06"
660,10976,"2021-03-08"
661,7044,"2024-03-12"
662,7066,"2019-10-03"
663,14795,"2019-08-01"
664,12176,"2021-01-06"
665,7270,"2017-10-28"
666,8380,"2024-06-05"
667,1764,"2024-07-18"
668,6016,"2020-12-06"
669,4361,"2024-12-22"
670,7728,"2018-09-16"
671,8321,"2019-05-13"
672,800,"2022-10-14"
673,3079,"2017-01-21"
674,13583,"2021-12-30"
675,1206,"2024-09-23"
676,7316,"2024-12-08"
677,182,"2020-08-19"
678,12116,"2022-11-18"
679,8702,"2018-01-21"
680,899,"2019-06-08"
681,10766,"2021-10-11"
682,322,"2017-11-20"
683,85,"2022-09-28"
684,1285,"2019-01-06"
685,2096,"2020-10-19"
686,8400,"2023-11-20"
687,10174,"2020-11-25"
688,9739,"2019-10-20"
689,1607,"2020-04-13"
690,10147,"2018-06-18"
691,10904,"2019-05-30"
692,690,"2018-03-27"
693,8447,"2021-09-28"
694,7946,"2017-05-12"
695,1973,"2023-07-24"
696,10760,"2019-10-12"
697,323,"2024-11-30"
698,2032,"2017-03-04"
699,5404,"2022-01-15"
700,5320,"2024-01-22"
701,5759,"2022-07-16"
702,13668,"2021-03-27"
703,9682,"2023-07-01"
704,9519,"2022-10-21"
705,14100,"2022-09-05"
706,4673,"2018-09-01"
707,10883,"2023-07-09"
708,2611,"2021-11-11"
709,2777,"2024-06-05"
710,1047,"2020-10-26"
711,5442,"2023-06-27"
712,13539,"2019-06-18"
713,3717,"2020-04-03"
714,11103,"2024-04-28"
715,3364,"2017-01-10"
716,8837,"2018-03-20"
717,14754,"2023-08-10"
718,4428,"2021-03-10"
719,851,"2022-03-20"
720,3259,"2022-03-12"
721,7638,"2022-11-12"
722,2432,"2017-10-10"
723,9234,"2023-04-22"
724,3558,"2021-10-19"
725,11785,"2018-01-15"
726,13759,"2022-07-17"
727,11335,"2023-05-25"
728,857,"2017-09-02"
729,7172,"2022-03-09"
730,431,"2022-02-19"
731,2686,"2020-11-17"
732,10379,"2022-05-20"
733,5891,"2019-05-03"
734,2291,"2023-11-25"
735,458,"2021-11-27"
736,4650,"2022-08-09"
737,12266,"2018-01-04"
738,13229,"2018-05-22"
739,8990,"2021-01-26"
740,4555,"2019-11-13"
741,12574,"2019-04-29"
742,6364,"2022-08-14"
743,3220,"2021-05-09"
744,5556,"2017-02-05"
745,11161,"2017-06-09"
746,14815,"2021-07-24"
747,190,"2023-10-30"
748,9617,"2018-07-16"
749,5632,"2022-11-06"
750,9188,"2023-07-31"
751,483,"2022-10-02"
752,7821,"2019-07-10"
753,1949,"2017-07-05"
754,9444,"2023-01-24"
755,240,"2020-01-28"
756,12151,"2023-06-26"
757,14313,"2022-09-05"
758,8883,"2017-10-31"
759,186,"2018-11-21"
760,9921,"2021-11-19"
761,1006,"2017-05-20"
762,5522,"2020-08-20"
763,2459,"2023-02-19"
764,4481,"2018-06-29"
765,6676,"2022-03-26"
766,4529,"2022-03-28"
767,12631,"2020-05-27"
768,11223,"2020-02-15"
769,12643,"2019-02-17"
770,9415,"2017-02-17"
771,4768,"2018-08-03"
772,8242,"2022-09-07"
773,14880,"2018-04-07"
774,12900,"2019-03-29"
775,13662,"2022-12-04"
776,8984,"2017-06-06"
777,109,"2017-04-25"
778,7272,"2022-10-17"
779,14976,"2018-04-22"
780,5558,"2020-06-30"
781,8628,"2023-02-08"
782,2667,"2022-01-07"
783,13603,"2020-02-14"
784,10841,"2022-08-25"
785,4836,"2024-02-27"
786,1042,"2023-10-10"
787,14347,"2021-09-15"
788,13003,"2024-09-15"
789,9253,"2021-05-14"
790,8696,"2021-02-11"
791,12879,"2022-01-27"
792,4515,"2020-06-24"
793,8823,"2020-01-21"
794,7816,"2021-04-18"
795,10376,"2020-03-26"
796,14487,"2018-09-03"
797,349,"2020-10-04"
798,10033,"2017-10-29"
799,4281,"2019-04-04"
800,1935,"2019-10-07"
801,4670,"2021-08-28"
802,12514,"2019-04-10"
803,9288,"2024-07-03"
804,14478,"2021-07-15"
805,7991,"2017-12-22"
806,147,"2021-08-04"
807,2582,"2020-09-26"
808,8736,"2022-09-11"
809,6572,"2021-06-18"
810,3859,"2021-07-28"
811,8453,"2024-12-13"
812,4210,"2023-07-24"
813,9344,"2021-10-10"
814,2745,"2022-12-17"
815,12713,"2024-02-19"
816,6638,"2018-07-29"
817,14481,"2017-07-11"
818,7841,"2020-02-18"
819,14002,"2021-06-21"
820,11625,"2017-12-14"
821,12996,"2024-11-19"
822,9840,"2017-02-05"
823,6728,"2017-12-29"
824,3698,"2019-06-07"
825,4034,"2021-06-18"
826,9381,"2023-10-20"
827,2174,"2018-08-11"
828,10857,"2023-08-12"
829,12830,"2020-04-29"
830,3487,"2024-08-02"
831,14920,"2018-05-01"
832,14569,"2023-07-22"
833,4200,"2022-09-21"
834,8113,"2022-11-24"
835,12428,"2024-05-17"
836,9804,"2023-03-27"
837,13548,"2022-08-17"
838,1498,"2023-02-02"
839,35,"2017-12-14"
840,9833,"2018-08-01"
841,6681,"2017-03-28"
842,2128,"2022-07-27"
843,5860,"2020-06-09"
844,1649,"2021-08-25"
845,3336,"2020-08-06"
846,3931,"2023-08-26"
847,2133,"2024-10-05"
848,6792,"2017-04-05"
849,5874,"2020-04-20"
850,8614,"2020-10-03"
851,8312,"2019-05-28"
852,11456,"2020-04-08"
853,10215,"2020-07-05"
854,5456,"2019-04-13"
855,14948,"2021-12-31"
856,4852,"2017-03-30"
857,12798,"2020-02-26"
858,10881,"2021-02-13"
859,10027,"2020-04-18"
860,12042,"2019-02-02"
861,9521,"2021-10-18"
862,13581,"2018-11-06"
863,13108,"2020-04-22"
864,2358,"2023-01-20"
865,10413,"2024-06-18"
866,6320,"2024-04-02"
867,9638,"2024-11-03"
868,14881,"2022-07-26"
869,14864,"2024-03-20"
870,12386,"2022-03-14"
871,14140,"2018-03-03"
872,13481,"2021-11-10"
873,11359,"2024-03-08"
874,4850,"2021-01-16"
875,725,"2017-03-25"
876,1516,"2017-05-05"
877,6784,"2020-10-03"
878,7446,"2023-11-22"
879,5070,"2020-10-27"
880,9369,"2020-09-24"
881,3421,"2020-11-12"
882,13513,"2020-03-15"
883,13474,"2018-02-22"
884,9755,"2019-05-30"
885,6209,"2022-02-13"
886,12415,"2021-07-27"
887,12226,"2017-07-15"
888,3197,"2024-04-10"
889,5288,"2023-12-09"
890,14836,"2022-05-03"
891,3655,"2023-12-02"
892,819,"2019-11-06"
893,9503,"2020-04-02"
894,8993,"2023-03-29"
895,12073,"2021-01-25"
896,12801,"2019-03-27"
897,9895,"2023-07-03"
898,12089,"2022-03-10"
899,11447,"2019-07-24"
900,9951,"2017-06-17"
901,8871,"2017-05-14"
902,6942,"2023-09-23"
903,7367,"2023-02-13"
904,8981,"2022-12-08"
905,14065,"2019-04-06"
906,1837,"2024-05-10"
907,4092,"2019-11-06"
908,4964,"2017-05-17"
909,12480,"2023-05-09"
910,7691,"2017-03-16"
911,1367,"2022-04-21"
912,906,"2023-11-24"
913,13399,"2018-06-25"
914,7051,"2022-08-17"
915,12840,"2023-07-09"
916,6492,"2017-02-22"
917,14087,"2017-10-26"
918,14156,"2019-09-17"
919,2925,"2021-05-13"
920,474,"2022-10-05"
921,2253,"2020-02-24"
922,9014,"2019-07-17"
923,12771,"2021-05-14"
924,13311,"2020-03-08"
925,9301,"2020-03-20"
926,578,"2021-07-26"
927,7478,"2022-05-08"
928,8969,"2020-08-11"
929,13314,"2021-02-25"
930,4339,"2023-11-03"
931,10370,"2018-08-18"
932,495,"2019-07-28"
933,1665,"2020-06-18"
934,6480,"2018-11-18"
935,11271,"2022-12-20"
936,14018,"2019-11-20"
937,11778,"2019-06-10"
938,6583,"2019-08-08"
939,4191,"2017-11-23"
940,3923,"2019-06-21"
941,11145,"2017-10-31"
942,9887,"2017-12-17"
943,14752,"2024-04-29"
944,5762,"2017-02-23"
945,4308,"2017-03-30"
946,4047,"2017-01-28"
947,12150,"2017-11-11"
948,9719,"2020-10-02"
949,13504,"2024-06-03"
950,11635,"2023-09-14"
951,6408,"2023-02-28"
952,10335,"2017-05-05"
953,3521,"2018-04-27"
954,6582,"2020-03-27"
955,12402,"2020-06-17"
956,3277,"2022-08-26"
957,1085,"2021-06-04"
958,2423,"2018-07-18"
959,6420,"2021-03-22"
960,12667,"2023-09-27"
961,1966,"2021-01-10"
962,11037,"2019-09-03"
963,10614,"2020-11-27"
964,9220,"2020-10-20"
965,12804,"2017-02-02"
966,3962,"2022-09-05"
967,736,"2017-03-21"
968,10039,"2022-03-12"
969,934,"2021-05-06"
970,11838,"2021-08-09"
971,4666,"2022-07-08"
972,2893,"2019-05-26"
973,12336,"2017-04-03"
974,2590,"2022-05-28"
975,6521,"2022-05-01"
976,8640,"2017-02-06"
977,13515,"2018-05-26"
978,1797,"2021-10-29"
979,1952,"2020-05-06"
980,12404,"2023-12-22"
981,1333,"2018-12-27"
982,3829,"2018-12-25"
983,11222,"2018-12-29"
984,486,"2022-01-30"
985,6836,"2024-08-25"
986,2803,"2018-07-25"
987,884,"2023-05-09"
988,2244,"2017-01-09"
989,989,"2022-01-18"
990,8417,"2017-01-25"
991,6134,"2022-02-21"
992,8940,"2020-06-15"
993,6847,"2020-02-12"
994,12165,"2020-10-02"
995,12424,"2018-03-23"
996,14305,"2024-01-29"
997,6567,"2024-08-23"
998,11785,"2023-02-04"
999,3311,"2023-10-27"
1000,3007,"2024-02-17"
1001,314,"2017-12-22"
1002,12058,"2021-08-02"
1003,5449,"2023-12-05"
1004,11376,"2024-12-24"
